Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Harga Jual Besar Satuan,Harga Jual Besar Grosir,Harga Jual Besar Promo,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset
SIKAT KAWAT BAJA 6 BARIS GDO / NISHIO,SKT BAJA,MGDSIK01,Umum,PCS,GDO,,tidak,0,5000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKAT KAWAT BENGKOK BIASA,MNOSIK03,MNOSIK03,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,6,3,,,1,,,,,,,,,0,0
SIKAT KAWAT KUNING 8',SKT KNG 8,MEASIK01,Umum,PCS,EAGLE,,tidak,0,5000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKAT KAWAT LENGKUNG BENGKOK,MNOSIK13,MNOSIK13,Umum,PCS,,Area 03,tidak,0,8000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
SIKAT KAWAT MINI SET 3 PCS,MNOSIK12,MNOSIK12,Umum,PCS,,Area 03,tidak,0,8000,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
SIKAT KEPANG KING,MKISIK02,MKISIK02,Umum,PCS,KING,Area 03,tidak,0,22000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
SIKAT KUNING BENGKOK VEGAZ,SKT KNG VG,MVESIK01,Umum,PCS,VEGAZ,,tidak,0,7500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKAT KUNING BIASA,MNOSIK02,MNOSIK02,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,6,3,,,1,,,,,,,,,0,0
SIKAT MANGKOK KING,MKISIK01,MKISIK01,Umum,PCS,KING,Area 03,tidak,0,12000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
SIKU LAS MAGNET MINI SET 4 PCS HASSTON 3910-008,MHASIK01,MHASIK01,Alat teknik,PCS,HASSTON,Area 02,tidak,0,65000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
